股票代码,股票名称,记录编号,公告日期,分红年度,分配类型,实施年度,方案进度,送股(股/10股),转增(股/10股),派息税前(元/10股),每股派息税前(元),除权除息日,股权登记日,红股上市日,明细页税前红利(元),明细页税后红利(元),股东大会决议公告日,红利到账日,含现金分红,含送股,含转增,数据来源
000001,平安银行,000001-2009-03-20,2009-03-20,2008,年度分配（推断）,2009,不分配,0.0,0.0,0.0,0.0,,,,,,,,否,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2009-03-20
000001,平安银行,000001-2008-10-24,2008-10-24,2008,中期/特别分配（推断）,2008,实施,3.0,0.0,0.335,0.0335,2008-10-31,2008-10-30,,0.34,,2008-10-16,2008-10-31,是,是,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2008-10-24
000001,平安银行,000001-2008-03-20,2008-03-20,2007,年度分配（推断）,2008,不分配,0.0,0.0,0.0,0.0,,,,,,,,否,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2008-03-20
000001,平安银行,000001-2007-06-14,2007-06-14,2006,年度分配（推断）,2007,实施,1.0,0.0,0.09,0.009,2007-06-18,2007-06-15,2007-06-20,0.09,,2007-06-09,2007-06-20,是,是,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2007-06-14
000001,平安银行,000001-2007-03-22,2007-03-22,2006,年度分配（推断）,2007,不分配,0.0,0.0,0.0,0.0,,,,,,,,否,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2007-03-22
000001,平安银行,000001-2006-04-01,2006-04-01,2005,年度分配（推断）,2006,不分配,0.0,0.0,0.0,0.0,,,,,,,,否,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2006-04-01
000001,平安银行,000001-2005-06-18,2005-06-18,2004,年度分配（推断）,2005,不分配,0.0,0.0,0.0,0.0,,,,,,,,否,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2005-06-18
000001,平安银行,000001-2003-09-23,2003-09-23,2003,中期/特别分配（推断）,2003,实施,0.0,0.0,1.5,0.15,2003-09-29,2003-09-26,,1.5,1.2,2003-08-27,2003-09-29,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2003-09-23
000001,平安银行,000001-2002-07-17,2002-07-17,2001,年度分配（推断）,2002,实施,0.0,0.0,1.5,0.15,2002-07-23,2002-07-22,,1.5,1.2,2002-05-23,2002-07-23,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=2002-07-17
000001,平安银行,000001-1999-10-16,1999-10-16,1999,中期/特别分配（推断）,1999,实施,0.0,0.0,6.0,0.6,1999-10-18,1999-10-15,,6.0,4.9,1999-08-17,1999-10-22,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=1999-10-16
000001,平安银行,000001-1997-08-19,1997-08-19,1996,年度分配（推断）,1997,实施,5.0,0.0,2.0,0.2,1997-08-25,1997-08-22,,2.0,,1997-07-23,1997-08-27,是,是,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=1997-08-19
000001,平安银行,000001-1996-05-23,1996-05-23,1995,年度分配（推断）,1996,实施,5.0,5.0,0.0,0.0,1996-05-27,1996-05-24,1996-05-29,,,1996-05-20,1996-05-27,否,是,是,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=1996-05-23
000001,平安银行,000001-1995-09-15,1995-09-15,1995,中期/特别分配（推断）,1995,实施,2.0,0.0,3.0,0.3,1995-09-25,1995-09-22,,3.0,,1995-08-29,,是,是,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=1995-09-15
000001,平安银行,000001-1994-07-02,1994-07-02,1993,年度分配（推断）,1994,实施,3.0,2.0,5.0,0.5,1994-07-11,1994-07-08,,5.0,,1994-03-18,,是,是,是,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=1994-07-02
000001,平安银行,000001-1993-05-09,1993-05-09,1992,年度分配（推断）,1993,实施,3.5,5.0,3.0,0.3,1993-05-24,1993-05-21,,3.0,,,1993-05-24,是,是,是,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=1993-05-09
000001,平安银行,000001-1991-03-03,1991-03-03,1990,年度分配（推断）,1991,实施,4.0,0.0,3.0,0.3,1991-04-03,1991-03-12,,3.0,,,,是,是,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=1991-03-03
000001,平安银行,000001-1900-01-01,1900-01-01,1899,年度分配（推断）,1991,实施,3.0,0.0,0.0,0.0,1991-08-17,,,,,,,否,是,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=000001&type=1&end_date=1900-01-01
600519,贵州茅台,600519-2026-06-22,2026-06-22,2025,年度分配（推断）,2026,实施,0.0,0.0,280.242,28.0242,2026-06-26,2026-06-25,,280.24,280.24,2026-06-12,2026-06-26,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2026-06-22
600519,贵州茅台,600519-2025-12-11,2025-12-11,2025,中期/特别分配（推断）,2025,实施,0.0,0.0,239.57,23.957,2025-12-19,2025-12-18,,239.57,239.57,2025-11-29,2025-12-19,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2025-12-11
600519,贵州茅台,600519-2025-06-20,2025-06-20,2024,年度分配（推断）,2025,实施,0.0,0.0,276.73,27.673,2025-06-26,2025-06-25,,276.73,276.73,2025-05-20,2025-06-26,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2025-06-20
600519,贵州茅台,600519-2024-12-14,2024-12-14,2024,中期/特别分配（推断）,2024,实施,0.0,0.0,238.82,23.882,2024-12-20,2024-12-19,,238.82,238.82,2024-11-28,2024-12-20,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2024-12-14
600519,贵州茅台,600519-2024-06-12,2024-06-12,2023,年度分配（推断）,2024,实施,0.0,0.0,308.76,30.876,2024-06-19,2024-06-18,,308.76,308.76,2024-05-30,2024-06-19,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2024-06-12
600519,贵州茅台,600519-2023-12-14,2023-12-14,2023,中期/特别分配（推断）,2023,实施,0.0,0.0,191.06,19.106,2023-12-20,2023-12-19,,191.06,191.06,2023-12-07,2023-12-20,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2023-12-14
600519,贵州茅台,600519-2023-06-26,2023-06-26,2022,年度分配（推断）,2023,实施,0.0,0.0,259.11,25.911,2023-06-30,2023-06-29,,259.11,259.11,2023-06-14,2023-06-30,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2023-06-26
600519,贵州茅台,600519-2022-12-21,2022-12-21,2022,中期/特别分配（推断）,2022,实施,0.0,0.0,219.1,21.91,2022-12-27,2022-12-26,,219.1,219.1,2022-12-15,2022-12-27,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2022-12-21
600519,贵州茅台,600519-2022-06-24,2022-06-24,2021,年度分配（推断）,2022,实施,0.0,0.0,216.75,21.675,2022-06-30,2022-06-29,,216.75,216.75,2022-06-17,2022-06-30,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2022-06-24
600519,贵州茅台,600519-2021-06-21,2021-06-21,2020,年度分配（推断）,2021,实施,0.0,0.0,192.93,19.293,2021-06-25,2021-06-24,,192.93,192.93,2021-06-10,2021-06-25,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2021-06-21
